# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.moduleManagerBridge.load.module.ms,1705909149209000000,1705909209249000000,0
jps.library.entities.serializer.save.entities.ms,1705909149209000000,1705909209249000000,0
jps.global.handle.before.change.events.ms,1705909149209000000,1705909209249000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1705909149209000000,1705909209249000000,34
workspaceModel.load.cache.metadata.from.file.ms,1705909149209000000,1705909209249000000,58
workspaceModel.global.apply.state.to.project.ms,1705909149209000000,1705909209249000000,51
workspaceModel.mutableEntityStorage.add.diff.ms,1705909149209000000,1705909209249000000,37
jps.load.project.to.empty.storage.ms,1705909149209000000,1705909209249000000,149
jps.artifact.entities.serializer.save.entities.ms,1705909149209000000,1705909209249000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1705909149209000000,1705909209249000000,1
jps.global.handle.changed.events.ms,1705909149209000000,1705909209249000000,0
workspaceModel.global.updates.count,1705909149209000000,1705909209249000000,1
jps.save.global.entities.ms,1705909149209000000,1705909209249000000,0
IndexesFlusher.totalContentionQuotaSpent,1705909149209000000,1705909209249000000,159
Indexes.stubs.lookupDurationMaxMs,1705909149209000000,1705909209249000000,0.0
IndexesFlusher.totalFlushes,1705909149209000000,1705909209249000000,115
Indexes.entries.lookupDurationMaxMs,1705909149209000000,1705909209249000000,0.0
IndexesFlusher.totalFlushesRetried,1705909149209000000,1705909209249000000,4
Indexes.stubs.lookupDurationAvgMs,1705909149209000000,1705909209249000000,0.0
Indexes.allKeys.lookupDuration90PMs,1705909149209000000,1705909209249000000,0.0
IndexesFlusher.totalFlushingTimeUs,1705909149209000000,1705909209249000000,830151
Indexes.stubs.lookupDuration90PMs,1705909149209000000,1705909209249000000,0.0
Indexes.stubs.lookups,1705909149209000000,1705909209249000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1705909149209000000,1705909209249000000,0.0
Indexes.entries.lookupDuration90PMs,1705909149209000000,1705909209249000000,0.0
Indexes.entries.lookups,1705909149209000000,1705909209249000000,0.0
Indexes.allKeys.lookups,1705909149209000000,1705909209249000000,0.0
